N,P,K,temperature,humidity,ph,rainfall,label
29.1,63.5,18.5,18.58,57.64,5.6,103.47,kidneybeans
20.4,60.7,21.6,23.72,61.04,5.54,66.8,kidneybeans
34.0,60.9,15.9,20.39,61.24,5.82,84.07,kidneybeans
15.3,74.3,17.5,21.08,62.07,5.81,88.16,kidneybeans
20.4,67.0,23.7,23.52,56.06,5.58,145.03,kidneybeans
29.7,72.7,17.0,20.29,62.01,5.84,96.73,kidneybeans
15.3,66.7,17.5,19.05,64.58,5.7,135.58,kidneybeans
18.8,68.4,24.8,15.92,55.08,5.72,68.34,kidneybeans
30.0,73.3,19.3,17.33,59.34,5.86,60.81,kidneybeans
26.8,67.3,21.4,17.18,62.14,5.55,77.93,kidneybeans
32.5,69.8,15.1,17.24,57.14,5.64,82.28,kidneybeans
16.3,64.2,22.3,20.46,61.73,5.54,145.63,kidneybeans
31.8,71.1,23.2,23.39,60.44,5.6,115.51,kidneybeans
29.9,69.8,20.2,15.62,58.71,5.96,112.6,kidneybeans
25.8,60.4,18.7,23.06,61.66,5.89,100.89,kidneybeans
27.6,60.0,22.1,18.85,59.43,5.82,144.27,kidneybeans
16.3,71.5,17.9,19.0,55.22,5.65,105.24,kidneybeans
16.1,64.8,24.3,15.95,62.64,5.7,118.97,kidneybeans
20.2,58.2,16.6,15.63,56.86,5.83,139.35,kidneybeans
31.3,68.7,16.1,17.6,58.1,5.62,106.35,kidneybeans
25.7,62.1,18.5,22.46,62.89,5.65,142.24,kidneybeans
34.1,61.5,18.5,19.55,64.41,5.94,69.23,kidneybeans
22.9,66.1,20.0,16.74,63.59,5.84,135.41,kidneybeans
32.2,70.0,19.4,20.49,56.6,5.84,76.13,kidneybeans
28.9,59.6,16.2,16.49,55.02,5.86,125.92,kidneybeans
25.3,58.2,15.8,15.17,56.66,5.95,81.74,kidneybeans
22.1,57.1,17.2,19.67,61.08,5.62,65.2,kidneybeans
22.8,59.7,17.2,23.64,61.16,5.78,97.42,kidneybeans
23.6,65.8,22.0,21.32,56.72,5.75,97.08,kidneybeans
32.4,67.6,20.3,16.04,61.06,5.56,90.35,kidneybeans
17.9,68.8,17.1,18.53,63.96,5.6,105.7,kidneybeans
23.4,55.4,22.9,15.62,59.74,5.78,116.56,kidneybeans
28.8,60.1,15.1,21.51,60.36,5.92,133.92,kidneybeans
31.9,64.7,18.3,22.12,59.51,5.59,136.95,kidneybeans
32.7,64.3,15.8,18.49,63.04,5.95,78.31,kidneybeans
16.3,72.5,18.9,19.88,64.68,5.53,118.35,kidneybeans
16.5,62.5,23.0,18.9,64.97,5.78,88.9,kidneybeans
19.4,62.0,18.7,15.62,58.7,5.73,125.05,kidneybeans
28.1,69.2,15.1,16.96,61.62,5.74,60.48,kidneybeans
31.1,70.5,20.5,15.6,62.67,5.79,130.38,kidneybeans
30.0,71.1,20.2,16.26,61.71,5.81,126.8,kidneybeans
18.4,58.9,23.9,21.75,64.08,5.88,113.74,kidneybeans
28.1,72.8,20.8,20.69,56.56,5.74,124.48,kidneybeans
20.4,59.0,18.1,17.17,57.15,5.71,141.71,kidneybeans
25.1,58.8,15.8,21.27,58.83,5.91,119.36,kidneybeans
30.9,60.4,21.9,17.38,64.39,5.82,89.21,kidneybeans
20.4,58.8,21.9,16.97,60.95,5.63,119.58,kidneybeans
31.3,70.6,22.6,16.69,55.88,5.85,93.15,kidneybeans
23.6,55.6,17.6,15.3,63.79,5.62,110.16,kidneybeans
15.8,68.3,18.2,23.08,63.88,5.66,141.09,kidneybeans
34.9,71.5,23.4,17.24,60.77,5.53,68.54,kidneybeans
35.0,61.5,22.5,22.26,63.58,6.0,81.73,kidneybeans
15.8,63.2,16.3,15.2,58.6,5.89,110.96,kidneybeans
21.3,68.1,17.3,15.13,62.64,5.81,128.61,kidneybeans
15.8,71.7,21.2,20.07,61.25,5.93,112.82,kidneybeans
26.6,74.8,22.6,18.98,62.07,5.69,80.6,kidneybeans
26.9,73.6,24.3,18.08,60.28,5.61,149.61,kidneybeans
34.6,68.0,23.0,21.44,60.93,5.53,100.93,kidneybeans
28.5,68.6,18.7,23.48,56.67,5.75,122.18,kidneybeans
28.9,68.0,17.8,16.41,61.36,5.8,76.14,kidneybeans
29.1,64.1,21.7,22.54,56.7,5.51,130.12,kidneybeans
27.2,69.0,23.4,22.23,64.61,5.77,103.96,kidneybeans
23.0,58.1,20.7,17.49,64.21,5.79,113.36,kidneybeans
22.1,56.0,15.3,18.81,55.85,5.8,139.29,kidneybeans
32.7,68.2,17.1,22.77,63.86,5.6,126.37,kidneybeans
20.7,71.1,25.0,25.3,62.43,6.25,177.6,pigeonpeas
24.3,71.9,18.4,28.35,41.68,6.95,163.53,pigeonpeas
32.1,73.8,18.6,28.86,41.78,5.42,110.64,pigeonpeas
24.4,60.4,18.7,26.67,43.68,6.95,158.34,pigeonpeas
34.4,63.8,19.9,32.98,48.16,5.6,110.93,pigeonpeas
17.6,60.1,20.5,31.74,41.56,5.42,162.81,pigeonpeas
17.9,61.9,24.1,26.55,42.07,5.97,117.22,pigeonpeas
26.3,71.1,19.0,30.81,52.64,5.29,146.16,pigeonpeas
20.5,64.8,18.6,29.6,47.66,6.64,95.13,pigeonpeas
23.4,64.2,23.1,30.74,56.68,6.55,167.6,pigeonpeas
21.3,65.8,23.9,34.89,62.24,5.74,107.56,pigeonpeas
24.8,69.8,21.4,29.83,60.96,5.72,167.38,pigeonpeas
23.1,61.6,21.2,32.62,43.15,5.39,175.63,pigeonpeas
18.5,66.4,22.1,29.9,56.12,5.46,139.74,pigeonpeas
22.4,68.2,19.0,30.71,44.63,5.56,109.68,pigeonpeas
18.7,71.5,20.0,34.27,64.25,6.14,102.87,pigeonpeas
22.5,71.0,20.6,25.87,53.92,6.69,161.63,pigeonpeas
18.5,68.5,19.5,27.18,61.85,5.5,113.69,pigeonpeas
15.0,72.4,23.5,31.27,58.76,5.3,131.25,pigeonpeas
22.0,56.9,21.4,34.21,41.0,5.58,108.68,pigeonpeas
19.8,73.2,21.3,29.66,59.01,5.31,133.85,pigeonpeas
23.6,66.9,25.0,32.69,49.95,6.66,105.36,pigeonpeas
15.6,59.1,20.4,30.11,55.38,6.82,135.89,pigeonpeas
25.0,56.0,18.2,30.51,50.95,6.68,104.46,pigeonpeas
15.5,64.0,19.7,25.5,58.11,5.22,144.75,pigeonpeas
20.6,58.5,20.7,33.01,49.8,6.5,101.29,pigeonpeas
30.5,59.7,22.7,30.66,63.23,5.77,95.95,pigeonpeas
15.4,71.5,21.7,32.75,45.86,5.69,92.71,pigeonpeas
34.2,68.4,24.5,27.65,55.29,6.36,118.58,pigeonpeas
32.0,73.9,24.2,32.39,46.94,5.56,176.7,pigeonpeas
15.2,69.3,22.9,31.23,64.75,5.62,120.6,pigeonpeas
16.6,63.9,19.8,28.43,60.86,6.87,106.72,pigeonpeas
22.5,73.6,18.4,25.92,44.07,6.19,103.54,pigeonpeas
34.4,63.9,21.5,27.47,51.77,6.32,157.61,pigeonpeas
30.1,66.6,24.3,33.17,58.93,5.11,90.62,pigeonpeas
19.2,68.3,20.9,29.02,62.11,6.79,171.83,pigeonpeas
21.3,68.8,19.9,26.91,44.62,5.68,128.7,pigeonpeas
31.6,57.4,23.1,30.31,47.2,5.99,116.99,pigeonpeas
26.9,63.7,19.2,26.17,53.67,6.8,120.96,pigeonpeas
29.7,68.2,24.5,33.21,54.17,6.31,170.85,pigeonpeas
23.0,61.5,18.1,33.27,60.02,5.21,141.92,pigeonpeas
24.3,57.4,24.9,27.15,41.68,6.19,156.5,pigeonpeas
15.6,68.2,21.7,26.03,44.31,6.14,116.67,pigeonpeas
33.8,71.4,24.9,27.6,64.24,5.86,121.28,pigeonpeas
16.0,56.1,22.8,29.58,45.66,6.23,112.76,pigeonpeas
26.6,62.2,23.8,33.21,51.93,5.7,122.63,pigeonpeas
31.1,61.6,19.5,25.85,51.67,5.96,165.68,pigeonpeas
19.4,62.6,23.7,33.24,49.62,5.92,117.3,pigeonpeas
33.7,57.4,24.5,31.84,53.29,5.07,132.8,pigeonpeas
23.2,58.2,22.6,34.71,54.05,6.43,96.16,pigeonpeas
23.4,57.3,22.3,34.38,56.54,5.15,121.92,pigeonpeas
26.0,63.1,23.8,33.15,55.3,5.75,112.98,pigeonpeas
17.1,62.1,20.9,31.76,56.45,5.14,125.57,pigeonpeas
18.6,58.1,23.8,25.42,50.48,5.34,169.14,pigeonpeas
26.1,59.6,21.5,32.31,63.95,5.44,169.76,pigeonpeas
33.7,73.3,22.4,31.3,50.08,6.5,137.82,pigeonpeas
28.5,63.6,23.1,33.24,43.66,6.67,138.63,pigeonpeas
31.9,63.6,20.7,34.15,46.28,6.69,133.56,pigeonpeas
25.3,61.2,22.0,28.25,40.98,5.54,90.57,pigeonpeas
34.6,74.3,20.8,32.28,48.65,6.34,162.49,pigeonpeas
33.9,63.0,23.5,27.66,64.76,5.05,144.32,pigeonpeas
28.2,68.8,18.8,34.39,44.53,6.25,110.04,pigeonpeas
21.1,65.9,20.9,26.6,44.27,5.84,158.16,pigeonpeas
33.0,56.7,20.8,26.0,40.41,6.32,144.22,pigeonpeas
18.3,59.7,18.2,33.35,64.37,5.27,110.83,pigeonpeas
32.4,73.5,20.9,25.51,40.98,6.15,125.36,pigeonpeas
15.6,66.7,18.1,32.87,47.66,5.08,142.95,pigeonpeas
23.0,74.5,21.8,27.75,57.74,5.54,171.38,pigeonpeas
22.5,66.0,18.4,29.26,60.81,6.61,110.19,pigeonpeas
19.5,71.3,24.5,25.95,51.25,5.67,168.36,pigeonpeas
16.7,59.2,23.3,25.51,52.31,5.88,120.1,pigeonpeas
22.9,65.6,19.1,30.72,60.14,6.52,103.85,pigeonpeas
18.0,60.4,20.5,29.08,56.99,5.11,93.12,pigeonpeas
22.8,68.9,19.4,31.42,46.5,6.77,170.61,pigeonpeas
20.9,59.6,20.9,27.41,56.81,6.65,150.58,pigeonpeas
31.5,62.9,19.1,32.38,49.01,6.34,114.36,pigeonpeas
16.6,74.9,19.1,34.88,64.43,6.59,149.35,pigeonpeas
26.6,72.3,20.0,29.68,55.48,5.82,128.47,pigeonpeas
21.6,66.3,24.0,27.02,63.36,6.38,164.09,pigeonpeas
26.1,70.6,18.1,33.18,41.0,6.78,179.28,pigeonpeas
20.9,59.2,23.4,27.53,61.64,5.21,101.34,pigeonpeas
34.6,68.5,23.9,28.24,56.91,6.19,144.28,pigeonpeas
28.7,66.5,21.0,27.76,59.21,5.45,152.31,pigeonpeas
19.7,67.5,23.2,27.19,41.5,5.26,144.54,pigeonpeas
32.0,55.9,23.1,28.41,51.96,6.86,119.88,pigeonpeas
24.3,55.3,18.6,27.59,40.7,6.26,128.38,pigeonpeas
26.0,58.5,20.1,31.64,64.13,5.1,170.13,pigeonpeas
26.5,66.3,21.5,25.69,42.25,6.2,120.69,pigeonpeas
33.3,63.1,19.0,32.15,47.33,6.05,152.8,pigeonpeas
33.0,70.8,22.7,31.8,63.65,5.59,90.1,pigeonpeas
20.4,59.4,22.6,31.34,54.84,5.03,155.59,pigeonpeas
21.5,68.3,21.9,28.43,43.36,5.19,164.84,pigeonpeas
33.4,68.0,18.7,29.02,58.22,6.56,100.64,pigeonpeas
15.0,69.2,20.5,27.54,40.32,6.08,166.6,pigeonpeas
34.2,66.3,21.6,25.85,53.72,5.76,144.64,pigeonpeas
22.8,59.8,18.7,28.15,42.42,5.35,178.86,pigeonpeas
23.9,65.6,24.1,34.96,54.57,6.62,119.42,pigeonpeas
21.1,63.1,22.7,31.82,47.88,5.27,146.92,pigeonpeas
17.6,66.6,22.9,32.01,58.84,6.75,135.0,pigeonpeas
29.6,67.4,19.3,25.26,47.11,5.89,145.54,pigeonpeas
27.0,38.9,16.3,31.74,42.16,5.41,56.35,mothbeans
20.8,36.7,15.6,25.74,51.71,5.68,40.52,mothbeans
22.8,51.4,15.4,28.49,53.79,4.51,43.85,mothbeans
22.3,53.0,23.1,29.08,54.6,4.96,58.84,mothbeans
19.3,38.8,22.0,28.9,47.17,7.15,30.94,mothbeans
16.3,36.1,22.7,29.91,46.63,6.2,47.82,mothbeans
25.1,44.1,19.1,31.54,45.02,3.98,56.3,mothbeans
29.4,42.6,15.6,27.38,50.12,4.15,59.61,mothbeans
30.0,44.0,18.5,27.8,42.3,7.03,48.67,mothbeans
17.7,48.2,19.4,29.54,41.23,6.75,72.32,mothbeans
23.0,54.1,16.5,28.34,52.04,5.83,48.07,mothbeans
16.8,37.5,18.9,26.14,54.69,4.34,32.64,mothbeans
21.0,46.9,23.7,29.04,46.91,6.71,54.31,mothbeans
11.6,46.3,24.1,27.77,45.93,4.07,36.82,mothbeans
18.7,46.9,15.8,31.58,55.1,5.85,67.28,mothbeans
11.6,44.5,21.3,30.8,55.67,4.61,72.34,mothbeans
12.5,52.5,24.7,26.24,54.44,3.66,48.24,mothbeans
20.3,46.6,24.4,29.71,49.63,6.74,72.77,mothbeans
10.4,54.7,15.9,30.7,45.61,4.03,49.79,mothbeans
22.9,42.6,15.5,29.2,58.05,5.03,39.73,mothbeans
18.9,36.0,23.2,30.78,51.76,4.91,65.99,mothbeans
21.1,51.5,21.3,30.49,51.97,5.16,73.11,mothbeans
20.8,47.1,17.2,29.38,51.43,4.24,32.68,mothbeans
22.1,50.3,20.2,26.59,53.33,3.82,49.88,mothbeans
13.3,38.7,17.0,27.71,41.02,5.09,53.03,mothbeans
19.7,42.7,23.4,26.02,50.11,3.75,33.2,mothbeans
21.5,46.3,23.8,28.91,59.2,3.69,34.41,mothbeans
10.9,38.7,20.4,29.52,40.91,7.28,67.9,mothbeans
15.9,36.5,16.7,25.89,42.47,5.57,41.06,mothbeans
17.2,54.8,21.8,31.64,42.85,5.03,54.96,mothbeans
11.5,35.1,21.7,29.49,48.22,5.46,48.69,mothbeans
10.5,41.7,16.8,25.69,59.13,5.9,62.79,mothbeans
16.3,42.9,17.4,25.68,43.58,6.69,60.49,mothbeans
20.9,44.5,24.2,25.51,45.61,4.9,65.21,mothbeans
29.9,39.8,23.7,30.81,44.49,5.1,48.44,mothbeans
29.6,38.6,23.0,27.34,54.62,5.18,56.03,mothbeans
26.7,51.1,23.7,25.42,53.84,4.06,48.71,mothbeans
21.0,43.1,20.2,31.98,42.7,6.2,47.82,mothbeans
12.7,38.2,24.5,31.16,58.14,7.47,39.37,mothbeans
17.1,48.4,19.8,27.93,47.16,5.88,55.9,mothbeans
13.2,44.4,20.5,28.99,44.2,6.47,31.13,mothbeans
17.1,50.6,20.6,26.83,53.9,5.77,65.83,mothbeans
24.7,47.2,19.9,25.93,45.23,5.18,56.97,mothbeans
20.3,40.8,15.1,28.47,45.71,6.44,31.08,mothbeans
21.7,53.8,16.7,28.3,41.83,6.0,54.77,mothbeans
18.1,45.4,24.0,26.37,40.45,6.95,55.97,mothbeans
27.8,46.9,23.1,28.01,55.0,7.15,55.75,mothbeans
13.6,40.4,17.0,26.73,46.13,5.72,56.46,mothbeans
18.5,47.3,15.8,25.61,43.44,5.57,39.63,mothbeans
15.7,43.0,23.1,25.1,52.99,6.18,65.94,mothbeans
28.7,35.4,16.5,31.2,49.17,5.76,59.84,mothbeans
23.6,53.6,25.0,30.04,45.74,7.02,32.21,mothbeans
14.6,52.9,17.6,26.54,42.76,6.94,52.5,mothbeans
23.5,39.8,22.6,30.32,46.25,5.14,39.44,mothbeans
29.5,47.9,24.3,27.12,55.64,6.56,61.12,mothbeans
29.3,42.9,16.3,29.7,54.59,5.8,39.31,mothbeans
20.1,41.2,19.3,29.52,54.9,4.43,48.24,mothbeans
15.4,39.0,22.8,31.36,47.4,6.51,70.36,mothbeans
26.9,38.7,24.6,27.64,46.78,3.75,51.88,mothbeans
12.2,40.0,18.2,30.66,57.51,4.71,68.64,mothbeans
27.1,50.3,16.5,29.83,58.9,6.23,44.92,mothbeans
20.0,47.9,20.1,25.84,46.24,6.71,68.76,mothbeans
12.7,54.0,18.3,29.64,55.04,6.75,72.56,mothbeans
16.3,52.2,16.3,29.94,54.84,6.21,41.35,mothbeans
27.5,38.4,15.5,30.02,49.51,6.9,47.25,mothbeans
13.4,51.7,20.5,26.32,54.41,5.54,57.19,mothbeans
19.2,51.6,23.3,29.97,42.11,6.86,60.2,mothbeans
23.9,42.3,23.8,30.08,42.25,5.13,69.89,mothbeans
10.9,54.2,21.8,29.42,45.41,4.5,72.39,mothbeans
16.0,50.5,18.9,25.97,40.21,5.68,73.91,mothbeans
17.4,42.1,18.4,28.64,48.81,7.02,52.75,mothbeans
20.2,37.8,24.8,26.75,41.47,6.15,56.79,mothbeans
18.3,43.4,22.9,26.37,56.41,6.09,48.85,mothbeans
19.2,40.1,22.5,28.59,46.42,5.88,74.81,mothbeans
18.7,53.4,18.5,25.38,44.08,5.17,39.88,mothbeans
10.0,53.3,23.4,30.2,43.36,3.98,33.04,mothbeans
24.5,53.6,19.3,25.83,50.25,4.9,46.87,mothbeans
22.4,49.4,16.1,25.25,59.89,4.43,32.42,mothbeans
13.8,35.8,18.9,30.62,46.82,5.28,60.4,mothbeans
20.2,52.2,23.7,25.07,55.56,5.34,74.5,mothbeans
19.7,54.7,22.5,26.74,50.77,7.47,68.59,mothbeans
11.9,49.1,18.5,25.05,48.07,4.44,66.85,mothbeans
16.7,51.6,15.0,27.15,44.82,4.43,33.07,mothbeans
13.7,46.1,17.9,27.92,47.54,7.0,70.74,mothbeans
19.9,41.6,16.1,31.67,41.2,4.69,43.41,mothbeans
16.4,38.3,22.8,25.86,52.7,4.0,33.17,mothbeans
28.2,38.8,23.2,28.81,41.56,7.32,41.11,mothbeans
27.2,38.4,23.5,25.09,50.24,6.58,72.07,mothbeans
28.2,51.4,23.9,26.39,45.68,4.66,46.97,mothbeans
17.9,45.9,16.6,29.84,43.35,4.74,52.65,mothbeans
25.9,49.8,21.5,26.09,50.94,3.85,46.98,mothbeans
18.3,35.8,17.7,31.69,59.07,4.91,31.94,mothbeans
13.6,42.8,24.5,25.99,55.27,3.93,74.16,mothbeans
17.6,50.5,18.4,29.39,43.84,4.08,72.21,mothbeans
28.4,52.7,21.3,30.66,41.38,4.84,44.12,mothbeans
22.7,42.1,16.5,29.18,56.29,5.03,35.95,mothbeans
13.9,39.7,18.0,29.5,52.02,6.28,46.31,mothbeans
26.5,39.1,19.7,30.61,43.6,3.94,69.77,mothbeans
16.9,48.7,15.3,29.83,46.32,3.72,57.44,mothbeans
14.8,42.7,15.8,26.03,45.96,3.86,70.99,mothbeans
10.1,44.7,16.2,27.92,89.26,6.36,59.32,mungbean
14.1,49.8,20.5,29.65,85.54,6.73,43.91,mungbean
13.3,53.3,18.3,28.12,87.6,6.54,59.04,mungbean
24.8,46.9,23.8,27.15,82.57,6.67,44.54,mungbean
24.9,53.4,19.2,28.03,89.62,6.64,49.78,mungbean
17.0,53.2,20.7,29.29,88.12,6.54,48.67,mungbean
27.0,42.3,22.9,29.82,86.23,6.94,56.1,mungbean
26.9,42.9,15.5,28.21,86.74,6.65,54.98,mungbean
17.1,47.7,16.9,29.25,85.46,6.4,45.84,mungbean
25.0,44.7,17.2,29.9,87.15,7.16,48.54,mungbean
19.5,53.0,20.3,29.12,82.52,6.65,42.47,mungbean
14.1,35.0,15.4,29.93,82.42,6.86,56.78,mungbean
21.0,38.1,22.3,28.8,87.31,6.97,59.51,mungbean
21.5,41.8,21.5,27.21,88.97,6.32,46.56,mungbean
26.3,46.9,18.9,28.42,88.55,6.54,57.39,mungbean
11.8,50.5,23.5,27.55,84.3,6.37,54.13,mungbean
20.7,47.7,17.0,27.64,80.41,6.52,51.19,mungbean
27.2,48.3,19.4,29.86,87.19,7.13,50.55,mungbean
15.2,36.1,22.3,27.36,83.03,6.73,51.29,mungbean
22.0,38.3,18.8,28.85,89.7,6.93,58.45,mungbean
25.2,46.8,16.9,29.0,86.23,6.8,49.8,mungbean
20.6,41.7,20.2,27.59,88.05,6.39,41.7,mungbean
18.7,48.2,19.4,27.83,85.58,6.55,58.66,mungbean
28.5,45.0,18.3,29.21,80.37,6.67,46.73,mungbean
28.4,35.2,20.5,29.22,84.85,6.29,59.45,mungbean
20.4,47.3,17.4,28.45,84.29,6.27,42.12,mungbean
26.7,39.8,16.9,28.51,87.69,6.26,51.54,mungbean
12.4,35.7,15.5,29.5,81.18,6.25,48.76,mungbean
26.9,40.2,19.2,27.12,84.49,6.78,51.42,mungbean
16.6,41.3,16.1,28.1,80.99,6.97,59.33,mungbean
29.4,52.3,21.0,29.1,82.85,6.83,49.11,mungbean
19.6,50.2,17.8,27.95,89.25,6.26,49.71,mungbean
28.3,47.2,20.5,27.75,83.43,7.05,51.18,mungbean
20.3,37.0,15.2,29.89,83.77,6.8,41.59,mungbean
23.7,53.7,20.8,27.38,85.82,6.97,48.13,mungbean
27.6,48.0,24.0,28.87,81.31,6.51,44.04,mungbean
28.2,50.2,21.8,27.9,81.84,6.96,49.48,mungbean
14.5,47.3,15.4,27.98,84.69,6.35,59.69,mungbean
14.2,37.6,17.0,29.31,84.26,6.77,40.42,mungbean
10.7,43.9,23.2,29.66,80.87,6.74,58.26,mungbean
17.8,51.6,16.3,29.81,87.51,7.14,53.53,mungbean
17.3,53.8,17.8,28.0,87.01,6.97,58.59,mungbean
14.1,51.0,22.4,27.19,83.87,6.48,46.09,mungbean
29.7,47.9,22.2,29.93,83.77,7.0,48.69,mungbean
27.4,38.6,24.5,27.66,83.26,6.96,47.88,mungbean
22.2,43.9,22.4,27.68,80.58,6.5,49.49,mungbean
13.4,42.1,19.0,27.17,85.83,7.08,43.03,mungbean
22.0,48.3,19.2,29.1,84.11,6.7,40.15,mungbean
23.8,48.2,15.4,28.1,89.79,6.62,50.04,mungbean
28.2,49.3,20.8,29.39,88.64,6.66,49.5,mungbean
17.7,54.3,22.0,27.25,88.63,6.68,41.38,mungbean
21.0,43.3,23.8,27.61,88.26,6.76,41.09,mungbean
29.4,45.3,17.9,28.41,88.58,6.5,43.85,mungbean
12.6,41.0,22.8,28.41,82.27,6.37,46.65,mungbean
28.8,41.9,24.9,28.46,81.79,7.09,49.21,mungbean
24.2,54.7,15.5,27.29,87.2,6.48,43.69,mungbean
10.8,35.4,22.7,27.4,84.68,6.81,48.57,mungbean
10.5,50.7,15.1,29.29,88.93,6.63,50.71,mungbean
19.5,42.8,23.9,29.68,83.36,6.82,58.54,mungbean
29.2,45.2,19.5,27.84,89.59,6.34,51.6,mungbean
15.7,40.6,19.0,30.0,80.55,6.78,41.65,mungbean
13.1,43.8,20.1,27.78,83.16,6.29,46.06,mungbean
29.3,53.9,18.3,28.71,89.1,6.21,56.21,mungbean
29.0,36.8,16.6,29.88,85.38,6.21,45.15,mungbean
19.0,48.9,22.3,29.99,82.88,6.74,50.67,mungbean
18.1,38.4,24.8,29.56,84.98,6.8,44.55,mungbean
20.9,48.9,20.2,29.97,86.11,6.57,55.44,mungbean
13.4,42.7,18.5,28.3,87.82,6.68,55.88,mungbean
21.5,41.8,23.1,27.71,82.24,6.7,45.22,mungbean
10.2,48.0,20.1,28.34,89.67,6.77,57.27,mungbean
12.8,46.4,23.7,28.75,87.18,6.57,41.85,mungbean
19.2,42.9,23.7,27.73,89.67,7.16,44.95,mungbean
17.0,52.9,24.7,28.33,83.21,6.73,53.76,mungbean
15.5,49.7,15.5,27.15,83.86,6.55,46.31,mungbean
19.8,41.4,16.9,27.93,89.75,6.61,48.89,mungbean
21.5,54.7,17.4,29.04,87.16,6.81,41.77,mungbean
23.5,36.3,21.0,29.22,82.11,7.04,40.61,mungbean
26.9,44.2,17.2,27.4,89.53,6.27,43.98,mungbean
17.0,47.4,20.4,27.38,82.9,6.44,44.27,mungbean
18.2,49.1,17.2,28.1,83.91,7.18,59.09,mungbean
26.0,39.8,15.7,27.95,82.67,6.71,55.55,mungbean
27.2,51.9,18.6,29.06,83.13,6.26,54.03,mungbean
10.2,43.2,18.3,29.08,87.66,6.5,56.23,mungbean
15.9,43.9,22.3,29.08,89.87,6.43,53.25,mungbean
22.2,53.3,16.6,29.26,85.68,6.47,49.49,mungbean
16.7,46.6,23.9,28.71,86.32,6.72,41.02,mungbean
14.7,44.8,18.1,27.55,85.04,6.52,45.16,mungbean
19.3,37.7,24.3,29.6,87.08,6.31,55.52,mungbean
26.2,50.4,16.1,28.93,88.34,6.78,52.93,mungbean
19.2,45.6,15.3,28.92,80.81,6.64,45.85,mungbean
20.9,37.7,21.9,29.39,81.63,6.3,42.91,mungbean
27.5,45.6,19.7,27.32,86.5,7.07,56.56,mungbean
22.5,36.5,16.1,27.15,82.57,6.34,45.2,mungbean
17.7,53.9,21.1,29.5,87.1,6.31,54.72,mungbean
15.5,47.8,18.4,29.99,82.64,6.48,58.61,mungbean
10.5,48.9,22.3,29.51,89.74,7.18,41.31,mungbean
26.4,47.9,21.5,27.39,86.5,7.18,58.24,mungbean
18.8,35.8,18.6,29.48,87.01,6.66,41.1,mungbean
18.5,44.4,24.3,28.92,83.12,6.73,41.32,mungbean
29.5,42.2,19.8,28.07,86.83,6.86,54.31,mungbean
35.4,61.3,16.3,31.56,60.4,7.1,77.39,blackgram
47.8,64.0,19.6,25.77,66.71,7.32,64.89,blackgram
38.4,71.8,23.8,27.43,65.51,6.69,62.04,blackgram
48.2,71.4,22.6,25.49,68.44,6.94,66.85,blackgram
40.9,56.8,22.6,30.82,61.87,6.69,63.68,blackgram
31.1,66.8,23.4,25.17,60.49,7.07,76.39,blackgram
36.5,62.0,21.0,27.74,60.27,7.24,72.51,blackgram
41.6,69.8,21.8,27.06,63.52,6.63,62.6,blackgram
43.5,72.2,24.6,31.28,61.84,6.61,76.26,blackgram
41.6,67.4,22.8,32.03,68.34,6.56,74.95,blackgram
47.0,60.7,21.4,28.14,69.58,6.53,71.6,blackgram
33.3,69.2,16.8,27.35,64.94,7.41,64.23,blackgram
32.9,70.2,20.0,34.12,61.47,7.15,64.66,blackgram
33.1,68.7,20.9,32.55,63.09,6.95,68.11,blackgram
49.7,60.8,17.9,28.55,65.65,6.75,78.31,blackgram
35.3,72.9,16.0,31.57,69.07,6.67,79.37,blackgram
39.1,73.9,21.8,28.02,61.88,6.8,61.86,blackgram
32.9,57.1,19.2,32.96,61.41,6.63,72.87,blackgram
33.9,57.0,16.7,34.24,68.21,6.85,73.12,blackgram
40.7,68.5,21.8,31.29,62.66,6.54,69.11,blackgram
47.8,66.4,23.3,34.92,61.64,7.19,73.49,blackgram
49.6,74.7,21.9,27.44,67.99,6.61,75.61,blackgram
48.2,62.7,21.3,29.3,64.38,6.81,75.24,blackgram
48.7,73.8,16.7,33.75,67.37,6.75,61.35,blackgram
35.4,73.2,21.3,32.21,62.57,7.22,60.56,blackgram
37.5,67.5,16.5,33.23,62.35,7.15,68.1,blackgram
41.9,57.1,15.2,34.1,62.7,7.32,79.99,blackgram
34.2,60.3,21.6,34.65,69.16,7.0,75.9,blackgram
32.7,74.5,24.6,26.64,62.99,6.6,65.43,blackgram
46.3,62.6,15.9,28.42,69.81,7.13,68.32,blackgram
33.3,74.7,23.2,27.81,60.7,6.56,62.41,blackgram
41.6,73.6,20.0,33.43,64.46,7.21,74.64,blackgram
33.5,62.2,21.4,25.71,63.62,7.03,79.92,blackgram
39.5,71.3,19.3,32.96,65.95,7.39,68.22,blackgram
42.1,67.6,19.2,26.44,60.94,6.52,77.47,blackgram
34.7,59.2,22.4,28.2,65.06,6.66,79.19,blackgram
47.0,72.3,19.1,32.62,61.44,6.51,60.4,blackgram
41.7,64.1,20.2,25.07,64.23,7.22,68.85,blackgram
44.6,59.7,23.1,30.88,62.11,6.74,72.56,blackgram
46.6,63.3,17.6,33.67,66.69,6.95,69.76,blackgram
34.1,67.5,18.6,34.96,64.8,6.99,71.32,blackgram
48.3,71.0,19.5,32.19,65.86,6.99,63.85,blackgram
